accession	message	sample_name	replicate	description	geo_loc_name	collection_date	sample_title	organism	environmental_medium	lat_lon	depth	elevation	broad_scale_environmental_context	local_scale_environmental_context	annual_and_seasonal_precipitation	annual_and_seasonal_temperature	geodiversity	niche	hillslope
SAMN17684472	Successfully loaded	AS3008	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684472	These attribute values are not valid. An automatically-generated correction will be applied.	AS3008	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684473	Successfully loaded	AS3009	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684473	These attribute values are not valid. An automatically-generated correction will be applied.	AS3009	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684474	Successfully loaded	AS3015	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684474	These attribute values are not valid. An automatically-generated correction will be applied.	AS3015	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684475	Successfully loaded	AS3016	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684475	These attribute values are not valid. An automatically-generated correction will be applied.	AS3016	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684476	Successfully loaded	AS3017	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684476	These attribute values are not valid. An automatically-generated correction will be applied.	AS3017	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684477	Successfully loaded	AS3018	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684477	These attribute values are not valid. An automatically-generated correction will be applied.	AS3018	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684478	Successfully loaded	AS3019	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684478	These attribute values are not valid. An automatically-generated correction will be applied.	AS3019	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O2
SAMN17684479	Successfully loaded	AS3040	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684479	These attribute values are not valid. An automatically-generated correction will be applied.	AS3040	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684480	Successfully loaded	AS3041	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684480	These attribute values are not valid. An automatically-generated correction will be applied.	AS3041	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684481	Successfully loaded	AS3042	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684481	These attribute values are not valid. An automatically-generated correction will be applied.	AS3042	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684482	Successfully loaded	AS3043	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684482	These attribute values are not valid. An automatically-generated correction will be applied.	AS3043	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684483	Successfully loaded	AS3044	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684483	These attribute values are not valid. An automatically-generated correction will be applied.	AS3044	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H2 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H2
SAMN17684484	Successfully loaded	AS3050	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684484	These attribute values are not valid. An automatically-generated correction will be applied.	AS3050	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684485	Successfully loaded	AS3051	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684485	These attribute values are not valid. An automatically-generated correction will be applied.	AS3051	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684486	Successfully loaded	AS3052	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684486	These attribute values are not valid. An automatically-generated correction will be applied.	AS3052	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684487	Successfully loaded	AS3053	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684487	These attribute values are not valid. An automatically-generated correction will be applied.	AS3053	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684488	Successfully loaded	AS3054	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684488	These attribute values are not valid. An automatically-generated correction will be applied.	AS3054	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H3
SAMN17684489	Successfully loaded	AS3030	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684489	These attribute values are not valid. An automatically-generated correction will be applied.	AS3030	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684490	Successfully loaded	AS3031	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684490	These attribute values are not valid. An automatically-generated correction will be applied.	AS3031	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684491	Successfully loaded	AS3032	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684491	These attribute values are not valid. An automatically-generated correction will be applied.	AS3032	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684492	Successfully loaded	AS3033	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684492	These attribute values are not valid. An automatically-generated correction will be applied.	AS3033	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684493	Successfully loaded	AS3034	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
SAMN17684493	These attribute values are not valid. An automatically-generated correction will be applied.	AS3034	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	under the phylosphere of Noaea mucronata	H1
